litter_id,dam_id,grid,food,year,litter_size,litter_fit,part,fieldBDate,n1_date,n2_date,mean_growth,byear,dam_age,num_trees,cone_counts,cone_index,mast,EXP,Exp_label,prev_year,cone_index_tm1,mast_tm1,local_density
149,11953,SU,0,2013,3,0,135,2013-05-15,136,160,1.329163333,2010,3,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.4147106052612917
150,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,12973,SU,0,2013,3,0,134,2013-05-14,136,161,1.630666666,2011,2,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.4147106052612917
152,12827,KL,0,2013,3,2,135,2013-05-15,136,162,1.2859,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,2.1220659078919377
153,13185,KL,0,2013,3,2,135,2013-05-15,136,160,1.569443333,2011,2,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,2.900156740785648
154,11344,KL,0,2013,3,2,118,2013-04-28,NA,138,NA,2009,4,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,1.4147106052612917
155,12629,KL,0,2013,3,0,137,2013-05-17,138,162,1.066663333,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,2.546479089470325
156,11729,JO,0,2013,4,0,137,2013-05-17,138,164,0.703845,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
157,12524,SU,0,2013,3,0,136,2013-05-16,138,161,1.007246666,2010,3,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.8391237868396793
158,19267,SU,0,2013,1,0,136,2013-05-16,138,161,1.7,2010,3,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.8391237868396793
159,11841,KL,0,2013,3,0,137,2013-05-17,139,164,1.562666666,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,NA
160,13010,KL,0,2013,2,1,137,2013-05-17,139,162,1.686955,2011,2,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,1.556181665787421
161,12628,KL,0,2013,3,0,140,2013-05-20,140,NA,NA,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,NA
162,11349,AG,1,2013,1,1,113,2013-04-23,141,141,NA,2009,4,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
163,13667,SU,0,2013,3,0,141,2013-05-21,141,167,0.703845,2007,6,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.6976527263135501
164,12699,JO,0,2013,3,0,139,2013-05-19,143,164,0.64286,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
165,13627,AG,1,2013,3,1,140,2013-05-20,143,166,1.169566666,2012,1,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
166,13085,SU,0,2013,2,0,146,2013-05-26,148,173,0.952,2011,2,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,2.1928014381550023
167,12202,KL,0,2013,3,1,139,2013-05-19,153,161,1.729166666,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,2.546479089470325
168,13134,SU,0,2013,2,0,138,2013-05-18,NA,153,NA,2011,2,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,0.9902974236829042
169,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,13130,SU,0,2013,2,0,155,2013-06-04,156,182,NA,2011,2,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,2.1220659078919377
172,19298,AG,1,2013,3,0,142,2013-05-22,159,159,NA,2012,1,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
173,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
